ISI QROR ROADMAP(BY BELAL AHMED SIDDIQUI),,
,,
,,
"ALL RESOUCES ARE AVAILBLE ON TELEGRAM GROUP|
Important topics for MMA are Complex numbers, Linear Algebra, Calculus, Straight Line, Circle, Sequence of real numbers, Infinite series, P and C , Probability, Binomial Thoerem.
|The topics important for PQB Maths are P and C,Divisibility and Prime number,Binomial Thoerem,Properties of triangles,Differential equation,Function,Limit,Continuity,Linear Algebra| Link to more resources: https://medium.com/isi-entrance-preparation |https://t.me/isiqror|https://t.me/chatisimtechqror",,
,,
,,
,,
TOPIC,LINK,PRACTICE
"Before starting this roadmap,read this: https://medium.com/isi-entrance-preparation/how-to-prepare-isi-qror-mma-mathematics-144283b0db21 ,  https://medium.com/isi-entrance-preparation/how-to-study-for-engineering-for-2f203d755e18",,
Previous Year : https://mathsmerizing.com/isi-m-tech-qror/,,
,,
Link to syllabus: https://www.isical.ac.in/~admission/IsiAdmission/PreviousQuestion/Questions-MCQ-Type.html,,http://www.isical.ac.in/~admission/IsiAdmission/Syllabus/MTech_QROR_Syllabus-2023.pdf
,,
IF KNOW THE CONCEPTS THEN GO FOR ONE SHOT VIDEOS: https://www.youtube.com/playlist?list=PLh8L7BdhccOvDJm9Jpmrd08ejk0TR8rAQ,,
Orange means very important,,
INEQUALITIES,https://www.youtube.com/watch?v=DYh1xBWnDYU,"SOLVE INEQUALITIES QUESTION FROM TELEGRAM GROUP FROM A PDF NAMED 4-INEQULAITY QUESTION 
LINK TO TELEGRAM: https://t.me/isiqror"
PROGRESSIONS,https://www.youtube.com/watch?v=-beKPDPv3uk&list=PLbu_fGT0MPsuw3SdOdssA8pXTSPJffBk4,CENGAGE ALGEBRA G TEWANI PDF FROM TELEGRAM(SOLVED EXAMPLE ONLY)
BINOMIAL THOEREM,https://www.youtube.com/watch?v=4fw1xCWFfhI&list=PLbu_fGT0MPssbWHrtLO3Brp_IYnC6Plt6,CENGAGE ALGEBRA G TEWANI PDF FROM TELEGRAM
SET THOERY,https://www.youtube.com/watch?v=pxYCuWEpujA,TOMATO BOOK OF ISI(AVAILABLE ON TELEGRAM)
RELATION,https://www.youtube.com/watch?v=pxYCuWEpujA,TOMATO BOOK OF ISI(AVAILABLE ON TELEGRAM)
MATRIX AND DETERMINANT,https://www.youtube.com/watch?v=2UQ0Kl_BimU&list=PLbu_fGT0MPstCkvvaHXiH1D0q0gKL-OkB,CENGAGE ALGEBRA G TEWANI PDF FROM TELEGRAM
STRAIGHT LINE,https://www.youtube.com/watch?v=xzWZiWJzses,ARIHANT CO ORDINATE GEOMETRY AVAILABLE ON TELEGRAM
CIRCLE,https://www.youtube.com/watch?v=3HR0f9IUdz0,ARIHANT CO ORDINATE GEOMETRY AVAILABLE ON TELEGRAM
FUNCTION,https://www.youtube.com/watch?v=xktPfmnzUB8&list=PLbu_fGT0MPsvHP36Fwya_QY8DLWBGbuV0,ARIHANT DIFFERENTIAL CALCULUS.PDF AVAILABLE ON TELEGRAM
